id,dataProvider
00ec993a15c51a695257f20c824e6676,"Special Collections and University Archives, University of Massachusetts Amherst Libraries"
014a5630dc4ee56ed485f57ea72b17c9,University of North Carolina at Chapel Hill
0177ed33d84f1dfdc355fc4cdfb68e38,The Charleston Archive at CCPL
01b54b03973f2ed1e0f1cc2b5ed8c052,Art and Picture Collection. The New York Public Library
01d09526679cf439946279a4f37dc288,Los Angeles Public Library
01fa1a9f61c9db456080e81415badeb7,['University of Michigan']
021a5d811dcb58fcce7f3a70809950e6,Waring Historical Library (MUSC)
0240e63874a5cf2c79c47b3d93c9c444,Indianapolis Museum of Art Archives
0270cb6ba41f7fa3e997232d99267cc6,"UC Berkeley, Bancroft Library"
0293bf72b0cfde87e6f7a0cdf281b26f,Annie Belle Weaver Special Collections
